Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
sl100 stage,34,34,70,15,2.16,https://www.avstrategies.ca/mobile-staging,0,0,0,0.16,1190000,"100,18,18,18,18,18,36,27,100,100,100,100",2025-09-09,"Image pack, Video, Ads bottom, People also ask, Related searches, Ads middle",informational,Organic
century audio visual ltd,87,87,90,33,0,https://www.avstrategies.ca/,0,0,0,0.06,5630000,"41,64,64,41,52,41,52,64,41,64,100,52",2025-11-08,"Knowledge panel, Sitelinks, Image, Ads bottom, People also ask, Related searches",navigational,Organic
av companies vancouver,36,36,110,33,5.91,https://www.avstrategies.ca/about-3,0,0,0,0.5,35800000,"41,41,41,11,64,100,82,64,64,11,100,100",2025-10-23,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
stageline stages,21,21,720,20,0.48,https://www.avstrategies.ca/mobile-staging,0,0,0,0.13,222000,"45,55,55,45,45,100,30,10,36,30,100,100",2025-10-04,"Knowledge panel, Image pack, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",navigational,Organic
audio visual dynamics,74,74,720,23,2.28,https://www.avstrategies.ca/,0,0,0,0.03,89600000,"55,67,67,45,100,45,24,16,30,67,76,36",2025-10-11,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
av services,74,74,90,27,2.28,https://www.avstrategies.ca/,0,0,0,0.12,930000000,"17,64,23,29,29,5,17,64,82,82,64,100",2025-08-23,"Knowledge panel, Image pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
av production companies,90,90,50,56,1.93,https://www.avstrategies.ca/,0,0,0,0.15,270000000,"11,22,100,22,22,22,22,22,100,100,100,77",2025-09-01,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Organic
av solutions,82,82,140,26,2.6,https://www.avstrategies.ca/,0,0,0,0.16,476000000,"42,52,66,52,42,33,80,66,66,80,80,100",2025-09-09,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,Organic
av ca,17,17,210,57,0,https://www.avstrategies.ca/,0,0,0,0.07,988000000,"2,2,2,2,2,88,100,21,26,2,2,2",2025-09-06,"Image pack, Sitelinks, People also ask, Related searches",informational,Organic
stageline mobile stage inc,48,48,90,19,0.5,https://www.avstrategies.ca/mobile-staging,0,0,0,0.11,48,"35,18,18,15,23,5,44,8,6,6,0,0",2025-08-25,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
audio visual canada,61,61,880,59,0,https://www.avstrategies.ca/,0,0,0,0.01,463000000,"55,62,55,55,81,100,8,100,30,8,45,30",2025-10-02,"Local pack, Sitelinks, Image, Ads bottom, Related searches, Ads middle",commercial,Organic
audio visual companies,38,38,70,53,3.49,https://www.avstrategies.ca/,0,0,0,0.18,329000000,"42,65,26,42,34,34,42,15,15,15,26,15",2025-08-26,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
av companies,12,12,90,49,3.49,https://www.avstrategies.ca/,0,0,0,0.18,650000000,"17,17,53,17,43,7,10,10,10,82,7,12",2025-09-02,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
audio visual production companies,65,65,50,50,1.93,https://www.avstrategies.ca/,0,0,0,0.15,152000000,"18,18,100,18,18,18,18,18,100,100,100,100",2025-08-17,"Local pack, Image pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
a/v,54,54,320,45,0,https://www.avstrategies.ca/,0,0,0,0,15460000000,"8,5,8,4,37,100,31,1,1,1,1,0",2025-09-02,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",informational,Organic
av equipment suppliers,80,80,320,54,3.48,https://www.avstrategies.ca/,0,0,0,0.04,34800000,"100,81,54,29,81,66,54,23,29,19,19,19",2025-09-05,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
audio visual equipment supplier near me,72,72,70,50,0,https://www.avstrategies.ca/,0,0,0,0.23,25600000,"81,81,81,63,63,63,63,63,45,45,45,18",2025-08-28,"Local pack, Sitelinks, Related searches",transactional,Organic
av service,75,75,50,18,2.28,https://www.avstrategies.ca/,0,0,0,0.12,2430000000,"42,42,33,42,42,33,42,14,4,0,33,4",2025-09-08,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",Organic
stage line,44,44,170,17,0.45,https://www.avstrategies.ca/mobile-staging,0,0,0,0.1,3240000000,"43,54,43,35,29,29,35,29,35,35,35,43",2025-09-01,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",navigational,Organic
toronto av,42,42,50,50,1.95,https://www.avstrategies.ca/,0,0,0,0.35,280000000,"63,45,45,36,45,36,27,45,81,63,63,45",2025-08-26,"Knowledge panel, Image pack, Sitelinks, People also ask, Related searches",informational,Organic
