Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
audio visual canada,18,18,880,59,0,https://www.proshow.com/,2,0.39,0,0.01,463000000,"55,62,55,55,81,100,8,100,30,8,45,30",2025-10-02,"Local pack, Sitelinks, Image, Ads bottom, Related searches, Ads middle",commercial,Organic
audio visual production,2,2,70,42,2.6,https://www.proshow.com/,2,0.39,5,0.11,372000000,"52,9,52,9,9,9,52,9,52,52,42,23",2025-08-21,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
audio visual jobs calgary,8,8,70,16,0,https://www.proshow.com/careers/,1,0.19,0,0,73,"14,78,78,78,78,64,100,35,50,35,35,14",2025-09-11,"Image pack, Video, Jobs search, Related searches",commercial,Organic
vancouver av,8,8,70,39,3.96,https://www.proshow.com/,1,0.19,3,0.31,22400000,"78,50,14,50,14,50,50,78,100,78,50,14",2025-09-05,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic
audiovisual near me,5,5,90,54,3.42,https://www.proshow.com/,1,0.19,3,0.18,106000000,"100,81,100,81,100,63,63,63,81,81,81,100",2025-09-10,"Local pack, People also ask, Related searches",transactional,Organic
av company,11,11,210,59,3.49,https://www.proshow.com/,1,0.19,3,0.18,5910000000,"5,4,3,5,3,3,7,8,7,2,8,7",2025-08-31,"Image pack, Sitelinks, Image, People also ask, Related searches","commercial, informational",Organic
av rentals,6,6,210,41,2.19,https://www.proshow.com/audiovisual-rentals/,1,0.19,2,0.17,262000000,"53,65,53,53,43,43,53,81,100,81,100,81",2025-08-20,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
av jobs calgary,11,11,90,19,0,https://www.proshow.com/careers/,1,0.19,0,0,85,"42,42,42,42,34,53,19,26,19,15,7,19",2025-09-11,"Image pack, Video, Jobs search, Related searches",commercial,Organic
proshow,2,2,140,41,1.7,http://www.proshow.com/,1,0.19,1,0.08,3530000,"42,53,65,65,42,53,53,65,42,53,65,53",2025-09-08,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches","commercial, navigational",Local pack
audio visual calgary,9,9,70,32,3.95,https://www.proshow.com/,1,0.19,3,0.29,2580000,"41,41,29,29,41,41,41,41,41,41,29,41",2025-09-02,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
audio visual calgary jobs,8,8,70,11,0,https://www.proshow.com/careers/,1,0.19,0,0.01,468000,"78,78,78,64,100,35,50,35,28,14,35,50",2025-10-17,"Video, Jobs search, Related searches",commercial,Organic
audio visual companies,10,10,70,53,3.49,https://www.proshow.com/,1,0.19,3,0.18,329000000,"42,65,26,42,34,34,42,15,15,15,26,15",2025-08-26,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
audio visual production companies,1,1,50,50,1.93,https://www.proshow.com/,1,0.19,1,0.15,152000000,"18,18,100,18,18,18,18,18,100,100,100,100",2025-08-17,"Local pack, Image pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
audio visual equipment supplier near me,10,10,70,50,0,https://www.proshow.com/,1,0.19,0,0.23,25600000,"81,81,81,63,63,63,63,63,45,45,45,18",2025-08-28,"Local pack, Sitelinks, Related searches",transactional,Organic
honda celebration,25,25,90,42,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,21100000,"100,2,2,2,2,2,2,2,2,2,5,2",2025-08-20,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
event companies in vancouver,22,22,70,41,1.76,https://www.proshow.com/location/vancouver/,0,0,0,0.46,35300000,"2,0,2,2,100,7,5,5,82,0,0,0",2025-08-24,"Local pack, Related searches",commercial,Organic
energy disruptors unite,36,36,50,11,0,https://www.proshow.com/case-study/energy-disruptors-unite/,0,0,0,0,77,"100,14,42,33,9,9,9,9,9,9,9,9",2025-08-26,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
av company calgary,33,33,50,26,4.96,https://www.proshow.com/location/calgary/,0,0,0,0.5,2320000,"10,53,10,10,10,10,17,12,10,10,10,12",2025-08-30,"Local pack, Image pack, Image, Related searches",commercial,Organic
audio visual club,75,75,720,23,0,https://www.proshow.com/,0,0,0,0,278000000,"0,0,0,0,0,0,0,0,0,36,100,36",2025-10-09,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
vancouver celebration of light vancouver,31,31,260,45,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,6500000,"29,36,15,19,29,54,23,15,15,29,36,44",2025-08-22,"Image pack, Sitelinks, Video, Related searches, AI overview",navigational,Organic
equipment rentals calgary,76,76,210,39,1.25,https://www.proshow.com/location/calgary/,0,0,0,0.58,7690000,"53,53,53,53,43,35,28,43,43,53,53,82",2025-08-23,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
light celebration vancouver,41,41,210,49,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,6540000,"0,0,0,17,0,48,21,0,0,0,48,100",2025-08-22,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
pro av,67,67,70,50,1.36,https://www.proshow.com/,0,0,0,0.09,2500000000,"29,52,52,52,41,41,52,41,29,41,41,41",2025-08-16,"Local pack, Sitelinks, Video, People also ask, Related searches","commercial, navigational",Organic
vancouver av,26,26,70,39,3.96,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.31,22400000,"78,50,14,50,14,50,50,78,100,78,50,14",2025-09-05,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic
vancouver projector rental,18,18,170,14,1.83,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.1,61,"65,65,65,65,65,65,53,65,53,53,34,53",2025-09-08,"Knowledge panel, Local pack, Sitelinks, Video, Related searches",navigational,Organic
michael enterprise audio & visual,54,54,70,21,0,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.13,40900000,"100,100,100,100,63,63,63,36,36,45,81,18",2025-09-07,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic
vancouver convention centre canada place vancouver bc,42,42,590,35,0,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.29,4140000,"36,24,10,24,13,54,36,4,4,4,54,8",2025-08-30,"Knowledge panel, Image pack, Sitelinks, People also ask, Related searches",navigational,Organic
calgary audio visual,14,14,70,17,3.95,https://www.proshow.com/,0,0,0,0.29,5530000,"28,64,50,64,35,50,50,50,50,35,50,50",2025-08-23,"Local pack, Image pack, Video, Image, Related searches",commercial,Organic
calgary audio visual,44,44,70,17,3.95,https://www.proshow.com/location/calgary/,0,0,0,0.29,5530000,"28,64,50,64,35,50,50,50,50,35,50,50",2025-08-23,"Local pack, Image pack, Video, Image, Related searches",commercial,Organic
production companies near me,9,9,140,44,2.25,https://www.proshow.com/,0,0,0,0.12,1420000000,"80,80,42,100,52,52,52,33,66,42,100,80",2025-08-31,"Local pack, Image pack, Video, People also ask, Related searches",transactional,Organic
audio visual jobs edmonton,33,33,70,15,0,https://www.proshow.com/careers/,0,0,0,0,185000,"100,80,52,33,33,23,23,23,33,9,23,23",2025-10-24,"Ads bottom, Jobs search, Related searches",commercial,Organic
audio visual jobs edmonton,51,51,70,15,0,https://www.proshow.com/location/edmonton/,0,0,0,0,185000,"100,80,52,33,33,23,23,23,33,9,23,23",2025-10-24,"Ads bottom, Jobs search, Related searches",commercial,Organic
vancouver convention center location,40,40,70,34,2.03,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.13,48400000,"0,3,3,42,42,100,19,15,11,15,15,15",2025-08-18,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
celebration of light vancouver bc,16,16,260,45,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,2950000,"44,36,15,19,29,54,23,15,15,29,29,19",2025-08-21,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
calgary video production,98,98,70,39,3.51,https://www.proshow.com/,0,0,0,0.33,7650000,"23,23,23,23,23,17,100,41,29,41,52,41",2025-08-21,"Local pack, Image, Video Carousel, Related searches",commercial,Organic
audio visual services,10,10,90,36,2.28,https://www.proshow.com/,0,0,0,0.12,401000000,"14,14,14,14,14,14,18,18,22,22,35,29",2025-09-02,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
audio visual equipment supplier,29,29,320,33,3.48,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.04,16600000,"72,59,39,21,48,32,39,14,17,11,7,17",2025-09-06,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
st paul's conference vancouver,12,12,70,18,0,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,0,0,0,0,462000,"34,34,53,53,80,15,11,7,7,7,15,7",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
audio visual wiki,33,33,170,37,0,https://www.proshow.com/,0,0,0,0,27100000,"3,3,18,18,15,11,15,18,44,100,44,54",2025-08-20,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
audio visual vancouver,31,31,70,41,6.37,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.23,5910000,"1,3,1,3,3,4,7,5,3,1,8,7",2025-10-27,"Local pack, Sitelinks, Image, Ads bottom, Related searches",commercial,Organic
av edmonton,21,21,140,24,0,https://www.proshow.com/location/edmonton/,0,0,0,0.07,5810000,"4,80,100,80,66,80,66,100,66,0,80,80",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
audiovisual,18,18,480,47,2.39,https://www.proshow.com/,0,0,0,0.1,126000000,"9,48,32,59,72,59,59,21,39,100,32,32",2025-10-30,"Instant answer, Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
audio rental near me,25,25,50,13,0.91,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.33,150000000,"100,100,100,18,63,18,18,18,18,18,18,18",2025-09-01,"Local pack, Sitelinks, Video, Related searches",transactional,Organic
professional audio visual,8,8,70,39,0,https://www.proshow.com/,0,0,0,0.09,579000000,"81,63,63,63,81,63,45,63,63,63,45,45",2025-10-23,"Local pack, Sitelinks, Image, Video Carousel, People also ask, Related searches",commercial,Organic
neurips conference,28,28,50,38,0,https://www.proshow.com/case-study/neurips-annual-2024-conference/,0,0,0,0,1940000,"14,14,14,78,100,100,28,28,21,21,14,14",2025-08-22,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
audio visual rental,44,44,260,35,2.19,https://www.proshow.com/,0,0,0,0.17,79400000,"36,36,29,29,29,29,44,29,29,44,44,29",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
courtyard marriott downtown calgary,41,41,90,32,0.94,https://www.proshow.com/location/the-dorian-courtyard-marriott-downtown-calgary/,0,0,0,0.68,96,"100,100,26,19,26,11,11,15,19,19,19,15",2025-08-23,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
audio visual,6,6,590,53,2.13,https://www.proshow.com/,0,0,0,0.11,1410000000,"59,72,39,72,39,48,59,39,72,48,59,39",2025-10-07,"Instant answer, Knowledge panel, Local pack, Sitelinks, People also ask, Related searches",informational,Organic
audio visual companies vancouver,21,21,70,32,4,https://www.proshow.com/location/vancouver/,0,0,0,0.38,503000,"35,35,50,50,50,14,78,100,100,100,78,14",2025-09-04,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
equipment audio visual,57,57,260,23,0,https://www.proshow.com/audiovisual-rentals/,0,0,0,0,182000000,"81,81,81,100,100,66,100,0,0,4,4,4",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
av rentals,59,59,210,41,2.19,https://www.proshow.com/,0,0,0,0.17,262000000,"53,65,53,53,43,43,53,81,100,81,100,81",2025-08-20,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
av equipment rental,81,81,140,25,1.81,https://www.proshow.com/location/calgary/,0,0,0,0.19,27600000,"2,2,8,7,4,2,5,5,7,10,7,5",2025-08-24,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
st paul's conference,6,6,70,14,0,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,0,0,0,0,15300000,"28,28,43,43,65,12,9,6,6,6,12,6",2025-08-30,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
pro show,3,3,50,33,1.7,https://www.proshow.com/,0,0,0,0.08,8380000000,"0,0,4,4,19,14,14,33,66,66,80,23",2025-08-19,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
allstar show industries,64,64,170,23,2.1,https://www.proshow.com/,0,0,0,0.07,73,"65,100,80,80,53,53,53,65,53,42,53,26",2025-09-04,"Knowledge panel, Image pack, Sitelinks, Related searches",navigational,Organic
av production company,10,10,70,37,2.46,https://www.proshow.com/,0,0,0,0.21,10,"100,18,18,18,18,18,100,100,100,100,36,36",2025-11-08,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
the audio visual,13,13,70,39,0,https://www.proshow.com/,0,0,0,0,1050000000,"50,50,50,100,50,50,50,14,35,35,35,14",2025-08-29,"Image pack, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
show companies,19,19,390,45,0.43,https://www.proshow.com/,0,0,0,1,1590000000,"36,45,30,24,36,55,24,16,6,36,36,6",2025-08-29,"Image pack, Sitelinks, Video, People also ask, FAQ, Related searches",informational,Organic
sound equipment rental near me,24,24,50,7,1.11,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.4,60700000,"52,52,52,52,9,9,9,9,9,9,9,9",2025-09-05,"Local pack, Sitelinks, People also ask, Related searches",transactional,Organic
production companies vancouver,63,63,70,29,3.3,https://www.proshow.com/,0,0,0,0.47,125000000,"21,21,21,15,43,6,43,21,21,21,21,21",2025-08-29,"Carousel, Image pack, Video, Image, Related searches, AI overview","commercial, informational",Organic
proshow,1,1,140,41,1.7,https://www.proshow.com/,0,0,0,0.08,3530000,"42,53,65,65,42,53,53,65,42,53,65,53",2025-09-08,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches","commercial, navigational",People also ask
proshow,2,2,140,41,1.7,http://www.proshow.com/,0,0,0,0.08,3530000,"42,53,65,65,42,53,53,65,42,53,65,53",2025-09-08,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches","commercial, navigational",Local pack
century audio visual ltd,70,70,90,33,0,https://www.proshow.com/,0,0,0,0.06,5630000,"41,64,64,41,52,41,52,64,41,64,100,52",2025-11-08,"Knowledge panel, Sitelinks, Image, Ads bottom, People also ask, Related searches",navigational,Organic
audio gear rental,26,26,170,18,1.09,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.17,39400000,"65,65,65,100,65,42,65,53,53,80,65,100",2025-08-27,"Local pack, Sitelinks, Image, Related searches, Discussions and forums",commercial,Organic
celebration of light radio,14,14,90,26,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,83000000,"88,2,2,2,2,2,2,0,2,2,2,0",2025-09-03,"Image pack, Video, Related searches, Discussions and forums",informational,Organic
honda celebration of light radio station,26,26,50,23,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,85,"100,0,0,0,3,0,0,3,3,0,3,3",2025-08-26,"Image pack, Video, Image, Related searches, Discussions and forums",informational,Organic
vancouver exhibition centre,14,14,140,36,1.55,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.21,14600000,"42,66,66,80,66,66,66,66,66,52,100,66",2025-08-22,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
special event rentals calgary calgary ab,56,56,1000,55,0.59,https://www.proshow.com/location/calgary/,0,0,0,0.1,297000,"55,55,45,36,55,45,62,62,81,81,81,100",2025-10-07,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
all star show industries,50,50,140,25,2.1,https://www.proshow.com/,0,0,0,0.07,91,"65,100,65,53,53,53,65,53,53,53,42,42",2025-09-04,"Knowledge panel, Image pack, Sitelinks, Video","informational, transactional",Organic
audio visual calgary,25,25,70,32,3.95,https://www.proshow.com/location/calgary/,0,0,0,0.29,2580000,"41,41,29,29,41,41,41,41,41,41,29,41",2025-09-02,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
audio visual equipment rental services near me,8,8,50,33,0,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.18,70400000,"28,50,100,14,14,100,100,14,14,14,14,14",2025-08-21,"Local pack, Sitelinks, Related searches",transactional,Organic
hotel arts calgary canada,89,89,480,43,0.56,https://www.proshow.com/location/hotel-arts/,0,0,0,0.81,3080000,"41,36,20,36,24,30,1,13,0,5,4,30",2025-09-12,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, navigational",Organic
van convention centre,22,22,320,41,0,https://www.proshow.com/location/vancouver-convention-centre/,0,0,0,0.28,168000000,"36,66,100,54,44,66,29,19,29,44,36,36",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic
av rent,9,9,110,41,0,https://www.proshow.com/audiovisual-rentals/,0,0,0,0,126000000,"64,64,64,52,52,64,100,82,82,52,64,100",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
av bc,33,33,140,22,0,https://www.proshow.com/,0,0,0,0,194000000,"0,6,6,6,6,65,100,65,81,65,43,43",2025-08-23,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
vancouver production companies,72,72,170,21,3.3,https://www.proshow.com/,0,0,0,0.47,52700000,"43,35,35,35,43,28,66,35,43,43,35,35",2025-08-29,"Carousel, Image, Related searches, AI overview",informational,Organic
celebration light vancouver,34,34,210,40,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,6910000,"54,0,0,19,0,67,23,0,0,0,19,100",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
courtyard by marriott downtown calgary,46,46,70,26,0.91,https://www.proshow.com/location/the-dorian-courtyard-marriott-downtown-calgary/,0,0,0,0.77,100,"23,33,42,33,52,33,33,23,42,33,33,33",2025-08-28,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
av calgary,9,9,90,27,3.95,https://www.proshow.com/,0,0,0,0.29,6000000,"64,100,64,78,64,78,50,64,50,78,78,64",2025-09-04,"Local pack, Image pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
av calgary,41,41,90,27,3.95,https://www.proshow.com/location/calgary/,0,0,0,0.29,6000000,"64,100,64,78,64,78,50,64,50,78,78,64",2025-09-04,"Local pack, Image pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
audio visual companies near me,10,10,50,43,3.14,https://www.proshow.com/,0,0,0,0.49,230000000,"36,63,45,36,36,36,36,45,63,63,45,63",2025-08-19,"Local pack, Sitelinks, People also ask, Related searches",transactional,Organic
audio visual 1,78,78,260,26,0,https://www.proshow.com/,0,0,0,0,1030000000,"54,66,81,66,0,81,100,66,54,0,100,54",2025-08-24,"Knowledge panel, Image pack, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
hotel arts hotel calgary,94,94,390,43,0.6,https://www.proshow.com/location/hotel-arts/,0,0,0,0.81,4270000,"100,45,67,30,8,55,20,16,8,24,3,8",2025-08-31,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, navigational",Organic
lens rental vancouver bc,85,85,90,17,0.5,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.14,2430000,"78,100,64,64,64,35,64,50,78,64,64,78",2025-08-30,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
audio rental,54,54,70,18,1.44,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.28,452000000,"50,64,50,50,35,14,50,28,64,28,100,21",2025-08-26,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
honda light,18,18,90,44,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,484000000,"100,5,2,4,4,5,4,2,4,5,6,12",2025-08-16,"Image pack, Sitelinks, Video, Popular products, Related searches",navigational,Organic
mcmedia av services ltd,39,39,90,24,0,https://www.proshow.com/,0,0,0,0.07,65,"52,42,52,33,33,33,33,33,33,42,52,52",2025-09-05,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
mcmedia av services ltd,50,50,90,24,0,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.07,65,"52,42,52,33,33,33,33,33,33,42,52,52",2025-09-05,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
projector rentals calgary,25,25,50,3,1.55,https://www.proshow.com/location/calgary/,0,0,0,0.46,53900,"26,42,42,7,42,7,7,7,7,7,7,7",2025-08-25,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
projector rentals calgary,34,34,50,3,1.55,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.46,53900,"26,42,42,7,42,7,7,7,7,7,7,7",2025-08-25,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
vancouver bc festival of lights,34,34,1000,50,0.86,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0.01,2350000,"7,3,7,8,29,13,3,4,10,8,18,100",2025-09-26,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",informational,Organic
honda festival of lights,9,9,140,38,0,https://www.proshow.com/case-study/honda-celebration-of-light/,0,0,0,0,7960000,"27,0,0,0,0,0,1,0,1,2,4,8",2025-08-20,"Knowledge panel, Sitelinks, Video, Related searches, Discussions and forums",navigational,Organic
audio and visual equipment,60,60,320,31,2.33,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.17,180000000,"66,66,66,81,81,66,100,66,35,43,100,43",2025-09-03,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
production companies in vancouver,65,65,50,19,3.3,https://www.proshow.com/,0,0,0,0.47,126000000,"29,23,29,23,29,23,52,29,29,64,41,41",2025-08-21,"Carousel, Video, Image, Related searches",informational,Organic
cine audio visual,43,43,170,31,6.08,https://www.proshow.com/,0,0,0,0.08,102000000,"42,42,80,100,65,42,53,53,53,53,80,100",2025-09-03,"Local pack, Image pack, Sitelinks, Video, Related searches","commercial, navigational",Organic
cine audio visual,89,89,170,31,6.08,https://www.proshow.com/location/edmonton/,0,0,0,0.08,102000000,"42,42,80,100,65,42,53,53,53,53,80,100",2025-09-03,"Local pack, Image pack, Sitelinks, Video, Related searches","commercial, navigational",Organic
audio visual equipment,52,52,480,23,2.78,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.24,183000000,"54,54,66,66,54,81,81,81,100,100,54,66",2025-09-28,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
av equipment,14,14,480,36,2.78,https://www.proshow.com/audiovisual-rentals/,0,0,0,0.24,391000000,"66,66,81,81,54,100,100,81,100,81,66,100",2025-09-29,"Local pack, Sitelinks, Featured snippet, Video Carousel, People also ask, Related searches",commercial,Organic
video companies vancouver,17,0,390,38,2.91,https://www.proshow.com/,0,0,0,0.25,91800000,"67,81,54,54,44,36,54,36,19,19,15,15",2025-11-09,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
