Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
led displays,65,65,90,14,1.3,https://www.promosa.com/custom-led-display,0,0,0,1,298000000,"5,5,7,7,10,7,12,17,5,100,28,35",2025-09-10,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
badlands music festival tickets,20,20,70,14,0.37,https://www.promosa.com/badlands-music-festival,0,0,0,0.33,97,"100,5,5,5,5,5,5,5,5,5,5,35",2025-08-22,"Image pack, Sitelinks, Video, Related searches, See results about",navigational,Organic
badlands music festival calgary,1,1,110,22,0.26,https://www.promosa.com/badlands-music-festival,0,0,0,0.13,144000,"55,1,2,1,1,3,3,3,6,5,6,16",2025-08-28,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,People also ask
badlands music festival calgary,12,12,110,22,0.26,https://www.promosa.com/badlands-music-festival,0,0,0,0.13,144000,"55,1,2,1,1,3,3,3,6,5,6,16",2025-08-28,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,Organic
custom-sized led video walls,15,15,70,25,0,https://www.promosa.com/custom-led-display,0,0,0,0,81000000,"28,78,100,50,21,28",2025-08-23,"Image pack, Video, Video Carousel, Popular products, Related searches",commercial,Organic
custom-sized led video walls,95,95,70,25,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0,81000000,"28,78,100,50,21,28",2025-08-23,"Image pack, Video, Video Carousel, Popular products, Related searches",commercial,Organic
outdoor video walls for hire,43,43,90,13,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0,23000000,"28,78,100,64,50,64",2025-08-25,"Video, Popular products, Related searches",informational,Organic
outdoor video walls for hire,52,52,90,13,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0,23000000,"28,78,100,64,50,64",2025-08-25,"Video, Popular products, Related searches",informational,Organic
monster energy stampede,49,49,390,37,0,https://www.promosa.com/calgary-stampede,0,0,0,0,713000,"8,67,76,76,10,0,1,1,1,67,1,24",2025-09-07,"Image pack, Video, People also ask, Related searches",informational,Organic
badlands festival,14,14,320,24,0.21,https://www.promosa.com/badlands-music-festival,0,0,0,0.11,11700000,"100,7,7,5,9,9,21,17,26,32,39,72",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
chasing summer location,10,10,50,20,0,https://www.promosa.com/chasing-summer,0,0,0,0,55200000,"34,100,6,6,6,6,6,6,9,12,12,15",2025-09-04,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
indoor rental led video wall,43,43,70,16,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0,15900000,"28,78,100,64,28,35",2025-08-19,"Local pack, Image pack, Video, Video Carousel, Popular products, Related searches",commercial,Organic
led display led,78,78,320,15,1.3,https://www.promosa.com/custom-led-display,0,0,0,1,1130000000,"35,54,66,35,44,54,81,54,44,100,44,35",2025-09-04,"Image pack, Video, Image, Video Carousel, Popular products, Related searches",informational,Organic
led wall rental,10,10,90,7,2.09,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.47,74100000,"14,14,23,14,19,9,66,100,80,66,42,33",2025-08-26,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
led wall rental,25,25,90,7,2.09,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.47,74100000,"14,14,23,14,19,9,66,100,80,66,42,33",2025-08-26,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
led video wall studio rental,73,73,50,7,2.09,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.47,12300000,"0,0,0,0,0,0,63,100,100,81,81,81",2025-09-01,"Local pack, Image pack, Video, Popular products, Related searches",commercial,Organic
wall display led,46,46,50,43,1.85,https://www.promosa.com/custom-led-display,0,0,0,1,240000000,"77,77,77,100,22,77,100,77,100,55,22,22",2025-08-21,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
calgary stampede corral,99,99,390,24,0,https://www.promosa.com/calgary-stampede,0,0,0,0.02,80600,"100,32,32,48,39,48,48,21,39,26,39,32",2025-09-01,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
calgary chasing summer,14,14,90,24,0.29,https://www.promosa.com/chasing-summer,0,0,0,0.03,1590000,"3,3,3,3,6,0,0,24,20,1,10,13",2025-10-23,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",navigational,Organic
rezz concert,30,30,90,29,0.18,https://www.promosa.com/rezz,0,0,0,0.05,1110000,"23,15,18,18,11,15,15,11,18,11,11,3",2025-09-02,"Knowledge panel, Image pack, Video, Events, Related searches",informational,Organic
showare centre,52,52,70,41,0,https://www.promosa.com/showare,0,0,0,0.02,442000,"0,0,0,100,0,0,12,23,17,0,17,35",2025-08-31,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, navigational",Organic
led screen rentals,46,46,70,15,2.18,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.53,23300000,"27,45,63,45,36,18,36,63,81,100,81,63",2025-08-30,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
led screen rentals,56,56,70,15,2.18,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.53,23300000,"27,45,63,45,36,18,36,63,81,100,81,63",2025-08-30,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
led walls,47,47,70,38,1.35,https://www.promosa.com/custom-led-display,0,0,0,1,331000000,"19,23,33,33,33,19,33,33,100,23,19,42",2025-09-08,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Ads middle","informational, transactional",Organic
led panel rental montreal,49,49,140,7,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0,1230000,"100,0,0,0,0,0,0,0",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
led panel rental montreal,59,59,140,7,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0,1230000,"100,0,0,0,0,0,0,0",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
led video wall rental cost,62,62,50,0,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.52,19500000,"14,14,14,14,14,14,50,78,100,64,50,50",2025-08-19,"Video, People also ask, Popular products, Related searches",commercial,Organic
badlands calgary lineup,5,5,70,17,0.09,https://www.promosa.com/badlands-music-festival,0,0,0,0.09,99,"100,5,5,5,5,7,10,5,17,17,17,28",2025-08-27,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
btsm,26,26,590,56,0,https://www.promosa.com/btsm,0,0,0,0,307000,"37,37,100,16,13,11,11,13,11,13,31,37",2025-10-09,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Events, Related searches","informational, navigational",Organic
stampede corral calgary ab,60,60,390,22,0,https://www.promosa.com/calgary-stampede,0,0,0,0.02,55200,"32,48,39,48,48,32,48,39,26,26,32,21",2025-10-22,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
rezz tour,16,16,110,36,0.18,https://www.promosa.com/rezz,0,0,0,0.05,789000,"53,42,65,53,26,34,34,26,53,34,26,11",2025-08-29,"Knowledge panel, Image pack, Video, People also ask, Events, Related searches",informational,Organic
led wall rental near me,9,9,50,4,1.85,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.54,94,"14,14,14,14,14,14,50,100,100,64,35,50",2025-08-19,"Local pack, Image pack, Video, Ads bottom, People also ask, Popular products, Related searches",transactional,Organic
led wall rental near me,35,35,50,4,1.85,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.54,94,"14,14,14,14,14,14,50,100,100,64,35,50",2025-08-19,"Local pack, Image pack, Video, Ads bottom, People also ask, Popular products, Related searches",transactional,Organic
stampede corral arena calgary,62,62,390,23,0,https://www.promosa.com/calgary-stampede,0,0,0,0.02,25100,"32,48,39,48,48,32,48,39,26,26,32,21",2025-10-18,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview","commercial, informational",Organic
trade show led screens,73,73,70,5,0,https://www.promosa.com/custom-led-display,0,0,0,0,246000000,"35,78,100,50,21,35",2025-08-20,"Image pack, Video, Video Carousel, Related searches, Discussions and forums","commercial, informational",Organic
diljit toronto show,72,72,70,23,0,https://www.promosa.com/diljit-dosanjh,0,0,0,0,176000,"81,2,2,2,2,2,2,0,0,2,2,2",2025-09-09,"Image pack, Video, Image, People also ask, Twitter carousel, Related searches","commercial, informational",Organic
beyond from wonderland,43,43,480,58,0.24,https://www.promosa.com/beyond-wonderland,0,0,0,0.01,25500000,"21,14,11,11,17,21,59,72,100,48,59,88",2025-09-01,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
badlands calgary 2025,4,4,50,20,0.17,https://www.promosa.com/badlands-music-festival,0,0,0,0.23,839000,"0,0,0,14,14,14,14,14,78,78,100,78",2025-09-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",informational,People also ask
rental led display,57,57,50,13,2.18,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.53,56400000,"3,0,7,34,34,3,7,3,7,100,11,42",2025-08-19,"Local pack, Image pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
rental led display,66,66,50,13,2.18,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.53,56400000,"3,0,7,34,34,3,7,3,7,100,11,42",2025-08-19,"Local pack, Image pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
chasing summer 2024 tickets,44,44,50,16,0,https://www.promosa.com/chasing-summer,0,0,0,0,33000000,"65,53,6,6,6,6,6,6,6,6,6,0",2025-09-09,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",navigational,Organic
badland calgary,19,19,50,19,0.26,https://www.promosa.com/badlands-music-festival,0,0,0,0.16,75,"8,1,1,0,0,2,2,0,7,1,3,7",2025-08-24,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
promosa,3,3,140,37,0,https://www.promosa.com/about-us,0,0,0,0,42,"80,100,66,66,66,42,66,52,52,42,52,66",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Related searches",navigational,Image pack
led video walls for events,57,57,110,9,0,https://www.promosa.com/custom-led-display,0,0,0,0,297000000,"63,100,100,81,81,100",2025-08-19,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic
wall screen led,49,49,50,27,1.85,https://www.promosa.com/custom-led-display,0,0,0,1,246000000,"33,33,33,42,9,33,42,33,42,23,9,9",2025-08-21,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
led rental screen,57,57,90,20,2.18,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.53,54500000,"45,100,100,81,81,81,100,81,100,81,27,100",2025-09-06,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
led rental screen,66,66,90,20,2.18,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.53,54500000,"45,100,100,81,81,81,100,81,100,81,27,100",2025-09-06,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
chasin summer,1,1,70,28,0.35,https://www.promosa.com/chasing-summer,0,0,0,0.01,2270000,"0,0,0,0,0,0,0,0,0,100,0,0",2025-08-15,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,People also ask
chasin summer,10,10,70,28,0.35,https://www.promosa.com/chasing-summer,0,0,0,0.01,2270000,"0,0,0,0,0,0,0,0,0,100,0,0",2025-08-15,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,Organic
led wall screen rental,16,16,50,14,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.01,25800000,"14,0,14,0,14,0,50,78,100,64,28,35",2025-09-05,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",transactional,Organic
led wall screen rental,46,46,50,14,0,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.01,25800000,"14,0,14,0,14,0,50,78,100,64,28,35",2025-09-05,"Local pack, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",transactional,Organic
chasing summer calgary,11,11,1000,49,0.22,https://www.promosa.com/chasing-summer,0,0,0,0.06,1600000,"66,0,0,0,0,1,1,4,3,4,8,35",2025-10-02,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","navigational, transactional",Organic
