Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,showmaxevent.com,Proshow.com,showmaxevent.com (pages),Proshow.com (pages),Results
proshow audiovisual,"Commercial, Navigational",320,32,2.07,0.11,0,1,,https://www.proshow.com/,28500
van convention centre,Navigational,320,41,0.00,0.28,0,22,,https://www.proshow.com/location/vancouver-convention-centre/,168000000
vancouver convention centre 1055 canada pl vancouver bc v6c 0c3,Navigational,320,32,0.00,0.16,0,67,,https://www.proshow.com/location/vancouver-convention-centre/,7660
vancouver convention centre in vancouver british columbia,"Commercial, Navigational",320,41,0.00,0.28,0,48,,https://www.proshow.com/location/vancouver-convention-centre/,27300000
vancouver convention centre vancouver,Navigational,320,33,2.03,0.17,0,25,,https://www.proshow.com/location/vancouver-convention-centre/,11800000
audio visual 1,"Informational, Transactional",260,26,0.00,0.00,0,78,,https://www.proshow.com/,1030000000
audio visual rental,Commercial,260,35,2.19,0.17,0,5,,https://www.proshow.com/audiovisual-rentals/,79400000
celebration of light vancouver bc,Informational,260,45,0.00,0.00,0,16,,https://www.proshow.com/case-study/honda-celebration-of-light/,2950000
equipment audio visual,Informational,260,23,0.00,0.00,0,57,,https://www.proshow.com/audiovisual-rentals/,182000000
v5j,Commercial,260,16,0.00,0.02,0,31,,https://www.proshow.com/location/8105-north-fraser-way-burnaby-v5j-5m8/,431000
vancouver celebration of light vancouver,Navigational,260,45,0.00,0.00,0,31,,https://www.proshow.com/case-study/honda-celebration-of-light/,6500000
vancouver conference centre,Informational,260,37,2.03,0.17,0,21,,https://www.proshow.com/location/vancouver-convention-centre/,146000000
av company,"Commercial, Informational",210,59,3.49,0.18,0,11,,https://www.proshow.com/,5910000000
av rentals,Commercial,210,41,2.19,0.17,0,6,,https://www.proshow.com/audiovisual-rentals/,262000000
celebration light vancouver,Navigational,210,40,0.00,0.00,0,34,,https://www.proshow.com/case-study/honda-celebration-of-light/,6910000
equipment rentals calgary,Commercial,210,39,1.25,0.58,0,76,,https://www.proshow.com/location/calgary/,7690000
event companies vancouver,Commercial,210,32,1.63,0.40,0,25,,https://www.proshow.com/location/vancouver/,193000000
light celebration vancouver,Navigational,210,49,0.00,0.00,0,41,,https://www.proshow.com/case-study/honda-celebration-of-light/,6540000
sound system rental,Commercial,210,11,0.93,0.26,0,69,,https://www.proshow.com/audiovisual-rentals/,103000000
allstar show industries,Navigational,170,23,2.10,0.07,0,64,,https://www.proshow.com/,73
audio equipment rental,Commercial,170,18,1.19,0.32,0,22,,https://www.proshow.com/audiovisual-rentals/,63200000
audio gear rental,Commercial,170,18,1.09,0.17,0,26,,https://www.proshow.com/audiovisual-rentals/,39400000
audio system rental,Commercial,170,9,0.93,0.26,0,90,,https://www.proshow.com/audiovisual-rentals/,95000000
audio visual wiki,Informational,170,37,0.00,0.00,0,33,,https://www.proshow.com/,27100000
cine audio visual,"Commercial, Navigational",170,31,6.08,0.08,0,43,,https://www.proshow.com/,102000000
production companies vancouver bc,"Commercial, Informational",170,40,3.30,0.47,0,75,,https://www.proshow.com/,21300000
rent stereo equipment,Commercial,170,6,1.09,0.17,0,25,,https://www.proshow.com/audiovisual-rentals/,17400000
vancouver production companies,Informational,170,21,3.30,0.47,0,72,,https://www.proshow.com/,52700000
vancouver projector rental,Navigational,170,14,1.83,0.10,0,18,,https://www.proshow.com/audiovisual-rentals/,61
all star show industries,"Informational, Transactional",140,25,2.10,0.07,0,50,,https://www.proshow.com/,91
audio visual equipment rental,Commercial,140,36,1.81,0.19,0,3,,https://www.proshow.com/audiovisual-rentals/,23900000
av bc,"Commercial, Informational",140,22,0.00,0.00,0,33,,https://www.proshow.com/,194000000
av edmonton,Commercial,140,24,0.00,0.07,0,21,,https://www.proshow.com/location/edmonton/,5810000
av equipment rental,Commercial,140,25,1.81,0.19,0,8,,https://www.proshow.com/audiovisual-rentals/,27600000
honda festival of lights,Navigational,140,38,0.00,0.00,0,9,,https://www.proshow.com/case-study/honda-celebration-of-light/,7960000
production companies near me,Transactional,140,44,2.25,0.12,0,9,,https://www.proshow.com/,1420000000
proshow,"Commercial, Navigational",140,41,1.70,0.08,0,1,,https://www.proshow.com/,3530000
vancouver exhibition centre,Navigational,140,36,1.55,0.21,0,14,,https://www.proshow.com/location/vancouver-convention-centre/,14600000
video production companies calgary,Commercial,140,40,3.51,0.33,0,48,,https://www.proshow.com/,988000
audio visual equipment rental service,"Commercial, Informational",110,37,1.62,0.13,0,2,,https://www.proshow.com/audiovisual-rentals/,29400000
av companies vancouver,Commercial,110,33,5.91,0.50,0,1,,https://www.proshow.com/,35800000
av rent,Commercial,110,41,0.00,0.00,0,9,,https://www.proshow.com/audiovisual-rentals/,126000000
av rental,Commercial,110,33,2.19,0.17,0,9,,https://www.proshow.com/audiovisual-rentals/,316000000
celebration of light music,Informational,110,40,0.00,0.00,0,8,,https://www.proshow.com/case-study/honda-celebration-of-light/,104000000
vancouver projector rentals,Navigational,110,16,1.83,0.10,0,28,,https://www.proshow.com/audiovisual-rentals/,45
audio video companies near me,Transactional,90,42,3.14,0.49,0,3,,https://www.proshow.com/,846000000
audio visual services,Commercial,90,36,2.28,0.12,0,10,,https://www.proshow.com/,401000000
audiovisual near me,Transactional,90,54,3.42,0.18,0,5,,https://www.proshow.com/,106000000
av calgary,Commercial,90,27,3.95,0.29,0,9,,https://www.proshow.com/,6000000
av companies,Commercial,90,49,3.49,0.18,0,13,,https://www.proshow.com/,650000000
av jobs calgary,Commercial,90,19,0.00,0.00,0,11,,https://www.proshow.com/careers/,85
celebration of light radio,Informational,90,26,0.00,0.00,0,14,,https://www.proshow.com/case-study/honda-celebration-of-light/,83000000
century audio visual ltd,Navigational,90,33,0.00,0.06,0,70,,https://www.proshow.com/,5630000
courtyard marriott downtown calgary,"Informational, Transactional",90,32,0.94,0.68,0,41,,https://www.proshow.com/location/the-dorian-courtyard-marriott-downtown-calgary/,96
honda celebration,Navigational,90,42,0.00,0.00,0,25,,https://www.proshow.com/case-study/honda-celebration-of-light/,21100000
honda festival of light,Navigational,90,41,0.00,0.00,0,21,,https://www.proshow.com/case-study/honda-celebration-of-light/,17400000
honda light,Navigational,90,44,0.00,0.00,0,18,,https://www.proshow.com/case-study/honda-celebration-of-light/,484000000
hotel arts in calgary,Navigational,90,34,0.60,0.81,0,82,,https://www.proshow.com/location/hotel-arts/,4550000
lens rental vancouver bc,Commercial,90,17,0.50,0.14,0,85,,https://www.proshow.com/audiovisual-rentals/,2430000
mcmedia av services ltd,Navigational,90,24,0.00,0.07,0,39,,https://www.proshow.com/,65
st paul cme,Navigational,90,17,0.00,0.00,0,10,,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,16500000
audio & visual equipment,Commercial,70,39,2.33,0.17,0,50,,https://www.proshow.com/audiovisual-rentals/,137000000
audio rental,Commercial,70,18,1.44,0.28,0,54,,https://www.proshow.com/audiovisual-rentals/,452000000
audio visual calgary,Commercial,70,32,3.95,0.29,0,9,,https://www.proshow.com/,2580000
audio visual calgary jobs,Commercial,70,11,0.00,0.01,0,8,,https://www.proshow.com/careers/,468000
audio visual companies,Commercial,70,53,3.49,0.18,0,10,,https://www.proshow.com/,329000000
audio visual companies vancouver,Commercial,70,32,4.00,0.38,0,1,,https://www.proshow.com/,503000
audio visual equipment supplier near me,Transactional,70,50,0.00,0.23,0,10,,https://www.proshow.com/,25600000
audio visual jobs calgary,Commercial,70,16,0.00,0.00,0,8,,https://www.proshow.com/careers/,73
audio visual jobs edmonton,Commercial,70,15,0.00,0.00,0,33,,https://www.proshow.com/careers/,185000
audio visual production,Commercial,70,42,2.60,0.11,0,2,,https://www.proshow.com/,372000000
audio visual vancouver,Commercial,70,41,6.37,0.23,0,2,,https://www.proshow.com/,5910000
av production company,Commercial,70,37,2.46,0.21,0,10,,https://www.proshow.com/,10
calgary ab t2a,Informational,70,24,0.00,0.30,0,37,,https://www.proshow.com/location/3140-14th-avenue-northeast-calgary-ab-t2a-6j4-canada/,299000
calgary audio visual,Commercial,70,17,3.95,0.29,0,14,,https://www.proshow.com/,5530000
calgary av rentals,Commercial,70,26,3.41,0.20,0,10,,https://www.proshow.com/location/calgary/,231000
calgary video production,Commercial,70,39,3.51,0.33,0,98,,https://www.proshow.com/,7650000
courtyard by marriott downtown calgary,"Informational, Transactional",70,26,0.91,0.77,0,46,,https://www.proshow.com/location/the-dorian-courtyard-marriott-downtown-calgary/,100
event companies in vancouver,Commercial,70,41,1.76,0.46,0,22,,https://www.proshow.com/location/vancouver/,35300000
honda celebration of light music,Informational,70,24,0.00,0.00,0,17,,https://www.proshow.com/case-study/honda-celebration-of-light/,6850000
michael enterprise audio & visual,Navigational,70,21,0.00,0.13,0,54,,https://www.proshow.com/audiovisual-rentals/,40900000
pro av,"Commercial, Navigational",70,50,1.36,0.09,0,67,,https://www.proshow.com/,2500000000
production companies vancouver,"Commercial, Informational",70,29,3.30,0.47,0,63,,https://www.proshow.com/,125000000
professional audio visual,Commercial,70,39,0.00,0.09,0,8,,https://www.proshow.com/,579000000
projector rental vancouver,Transactional,70,6,2.48,0.18,0,17,,https://www.proshow.com/audiovisual-rentals/,58
st paul's conference,Navigational,70,14,0.00,0.00,0,6,,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,15300000
st paul's conference 2024,Navigational,70,12,0.00,0.00,0,10,,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,6320000
st paul's conference vancouver,Navigational,70,18,0.00,0.00,0,12,,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,462000
st paul's hospital cme,Navigational,70,18,0.00,0.00,0,10,,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,81
st pauls cme,Navigational,70,18,0.00,0.00,0,9,,https://www.proshow.com/case-study/st-pauls-hospital-continuing-medical-education-conference-for-primary-care-physicians/,99
the audio visual,"Informational, Transactional",70,39,0.00,0.00,0,13,,https://www.proshow.com/,1050000000
vancouver av,Commercial,70,39,3.96,0.31,0,8,,https://www.proshow.com/,22400000
vancouver camera show,Informational,70,10,0.00,0.00,0,42,,https://www.proshow.com/location/vancouver-convention-centre/,95
vancouver convention center location,"Informational, Transactional",70,34,2.03,0.13,0,40,,https://www.proshow.com/location/vancouver-convention-centre/,48400000
vancouver convention centre camera,"Commercial, Informational",70,20,0.00,0.00,0,6,,https://www.proshow.com/location/vancouver-convention-centre/,1230000
a v rental,Commercial,50,34,0.00,0.00,0,6,,https://www.proshow.com/audiovisual-rentals/,290000000
audio rental equipment near me,Transactional,50,15,1.11,0.40,0,27,,https://www.proshow.com/audiovisual-rentals/,64200000
audio rental near me,Transactional,50,13,0.91,0.33,0,25,,https://www.proshow.com/audiovisual-rentals/,150000000
audio visual companies near me,Transactional,50,43,3.14,0.49,0,10,,https://www.proshow.com/,230000000
audio visual equipment rental services near me,Transactional,50,33,0.00,0.18,0,8,,https://www.proshow.com/audiovisual-rentals/,70400000
audio visual production companies,Commercial,50,50,1.93,0.15,0,1,,https://www.proshow.com/,152000000
av company calgary,Commercial,50,26,4.96,0.50,0,3,,https://www.proshow.com/,2320000
av production companies,Commercial,50,56,1.93,0.15,0,2,,https://www.proshow.com/,270000000
energy disruptors unite,Navigational,50,11,0.00,0.00,0,36,,https://www.proshow.com/case-study/energy-disruptors-unite/,77
honda celebration of light radio station,Informational,50,23,0.00,0.00,0,26,,https://www.proshow.com/case-study/honda-celebration-of-light/,85
mission audio visual,Navigational,50,28,0.00,0.03,0,46,,https://www.proshow.com/,53100000
neurips conference,Navigational,50,38,0.00,0.00,0,28,,https://www.proshow.com/case-study/neurips-annual-2024-conference/,1940000
pro show,Navigational,50,33,1.70,0.08,0,1,,https://www.proshow.com/,8380000000
production companies in vancouver,Informational,50,19,3.30,0.47,0,65,,https://www.proshow.com/,126000000
projector rentals calgary,Commercial,50,3,1.55,0.46,0,25,,https://www.proshow.com/location/calgary/,53900
sound equipment rental near me,Transactional,50,7,1.11,0.40,0,24,,https://www.proshow.com/audiovisual-rentals/,60700000
